Dactron Signal Analysis System

Signal Analysis and Waveform Source Run Log	12:16:15, Saturday, February 16, 2019

ENTRY TIME	SOURCE	DESCRIPTION
  		  	  
12:16:45, Feb 16, 19	User Command	Stop the Test
12:37:14, Feb 16, 19	User Command	Stop the Test
12:50:06, Feb 16, 19	User Command	Stop the Test
12:51:45, Feb 16, 19	User Command	Stop the Test
12:51:54, Feb 16, 19	User Command	Stop the Test
12:53:29, Feb 16, 19	User Command	Stop the Test
13:38:02, Feb 21, 19	User Command	Stop the Test
13:38:04, Feb 21, 19	User Command	Stop the Test
13:38:08, Feb 21, 19	User Command	Stop the Test
13:38:37, Feb 21, 19	User Command	Stop the Test
13:39:02, Feb 21, 19	User Command	Stop the Test
13:39:18, Feb 21, 19	User Command	Stop the Test
13:40:09, Feb 21, 19	User Command	Stop the Test
13:41:27, Feb 21, 19	User Command	Stop the Test
13:41:38, Feb 21, 19	User Command	Stop the Test
13:42:00, Feb 21, 19	User Command	Stop the Test
13:42:13, Feb 21, 19	User Command	Stop the Test
13:42:46, Feb 21, 19	User Command	Stop the Test
13:43:53, Feb 21, 19	User Command	Stop the Test
13:46:14, Feb 21, 19	User Command	Stop the Test
13:46:50, Feb 21, 19	User Command	Stop the Test
13:46:57, Feb 21, 19	User Command	Stop the Test
13:53:09, Feb 21, 19	User Command	Stop the Test
13:53:20, Feb 21, 19	User Command	Stop the Test
14:03:04, Feb 21, 19	User Command	Stop the Test
14:05:22, Feb 21, 19	User Command	Stop the Test
14:09:09, Feb 21, 19	User Command	Stop the Test
14:09:43, Feb 21, 19	User Command	Stop the Test
14:09:49, Feb 21, 19	User Command	Stop the Test
14:09:52, Feb 21, 19	User Command	Stop the Test
14:09:55, Feb 21, 19	User Command	Stop the Test
15:01:53, Feb 21, 19	User Command	Stop the Test
15:08:10, Feb 21, 19	User Command	Stop the Test
15:08:14, Feb 21, 19	User Command	Stop DA output
15:08:14, Feb 21, 19	User Command	Reset the Hardware
16:06:08, Feb 27, 19	User Command	Stop the Test
16:11:36, Feb 27, 19	User Command	Stop the Test
16:11:54, Feb 27, 19	User Command	Stop the Test
16:11:57, Feb 27, 19	User Command	Stop the Test
16:15:23, Feb 27, 19	User Command	Stop the Test
16:17:31, Feb 27, 19	User Command	Stop the Test
16:17:48, Feb 27, 19	User Command	Stop the Test
