Dactron Signal Analysis System

Signal Analysis and Waveform Source Run Log	10:06:11, Thursday, February 28, 2019

ENTRY TIME	SOURCE	DESCRIPTION
  		  	  
10:06:11, Feb 28, 19	User Command	Stop DA output
10:06:11, Feb 28, 19	User Command	Reset the Hardware
10:06:26, Feb 28, 19	User Command	Stop DA output
10:06:26, Feb 28, 19	User Command	Reset the Hardware
10:08:57, Feb 28, 19	User Command	Stop DA output
10:08:57, Feb 28, 19	User Command	Reset the Hardware
10:11:27, Feb 28, 19	User Command	Stop DA output
10:11:27, Feb 28, 19	User Command	Reset the Hardware
10:14:00, Feb 28, 19	User Command	Stop DA output
10:14:00, Feb 28, 19	User Command	Reset the Hardware
10:19:47, Feb 28, 19	User Command	Stop DA output
10:19:47, Feb 28, 19	User Command	Reset the Hardware
10:23:56, Feb 28, 19	User Command	Stop DA output
10:23:56, Feb 28, 19	User Command	Reset the Hardware
10:26:24, Feb 28, 19	User Command	Stop DA output
10:26:24, Feb 28, 19	User Command	Reset the Hardware
10:26:31, Feb 28, 19	User Command	Stop DA output
10:26:31, Feb 28, 19	User Command	Reset the Hardware
10:26:46, Feb 28, 19	User Command	Stop DA output
10:26:46, Feb 28, 19	User Command	Reset the Hardware
10:27:28, Feb 28, 19	User Command	Stop DA output
10:27:28, Feb 28, 19	User Command	Reset the Hardware
10:27:53, Feb 28, 19	User Command	Stop DA output
10:27:53, Feb 28, 19	User Command	Reset the Hardware
10:29:23, Feb 28, 19	User Command	Stop DA output
10:29:23, Feb 28, 19	User Command	Reset the Hardware
10:31:00, Feb 28, 19	User Command	Stop DA output
10:31:00, Feb 28, 19	User Command	Reset the Hardware
10:32:11, Feb 28, 19	User Command	Stop DA output
10:32:11, Feb 28, 19	User Command	Reset the Hardware
10:49:23, Feb 28, 19	User Command	Stop DA output
10:49:23, Feb 28, 19	User Command	Reset the Hardware
10:53:03, Feb 28, 19	User Command	Stop DA output
10:53:03, Feb 28, 19	User Command	Reset the Hardware
10:55:38, Feb 28, 19	User Command	Stop DA output
10:55:38, Feb 28, 19	User Command	Reset the Hardware
11:01:08, Feb 28, 19	User Command	Stop DA output
11:01:08, Feb 28, 19	User Command	Reset the Hardware
11:03:54, Feb 28, 19	User Command	Stop DA output
11:03:54, Feb 28, 19	User Command	Reset the Hardware
11:04:37, Feb 28, 19	User Command	Stop DA output
11:04:37, Feb 28, 19	User Command	Reset the Hardware
11:05:28, Feb 28, 19	User Command	Stop DA output
11:05:28, Feb 28, 19	User Command	Reset the Hardware
11:06:34, Feb 28, 19	User Command	Stop DA output
11:06:34, Feb 28, 19	User Command	Reset the Hardware
11:06:53, Feb 28, 19	User Command	Stop DA output
11:06:53, Feb 28, 19	User Command	Reset the Hardware
11:14:48, Feb 28, 19	User Command	Stop the Test
11:17:06, Feb 28, 19	User Command	Stop the Test
11:17:17, Feb 28, 19	User Command	Stop the Test
11:17:50, Feb 28, 19	User Command	Stop the Test
11:17:52, Feb 28, 19	User Command	Stop the Test
11:18:22, Feb 28, 19	User Command	Stop the Test
11:18:23, Feb 28, 19	User Command	Stop the Test
11:22:12, Feb 28, 19	User Command	Stop the Test
11:23:28, Feb 28, 19	User Command	Stop DA output
11:23:28, Feb 28, 19	User Command	Reset the Hardware
11:29:36, Feb 28, 19	User Command	Stop DA output
11:29:36, Feb 28, 19	User Command	Reset the Hardware
