Dactron Signal Analysis System

Signal Analysis and Waveform Source Run Log	13:14:36, Monday, January 07, 2019

ENTRY TIME	SOURCE	DESCRIPTION
  		  	  
13:14:36, Jan 07, 19	User Command	Stop DA output
13:14:36, Jan 07, 19	User Command	Reset the Hardware
13:35:21, Mar 08, 19	User Command	Stop DA output
13:35:21, Mar 08, 19	User Command	Reset the Hardware
13:36:45, Mar 08, 19	User Command	Stop the Test
13:36:50, Mar 08, 19	User Command	Stop the Test
13:37:08, Mar 08, 19	User Command	Stop the Test
13:37:23, Mar 08, 19	User Command	Stop the Test
13:56:12, Mar 08, 19	User Command	Stop the Test
13:59:41, Mar 08, 19	User Command	Stop the Test
14:00:56, Mar 08, 19	User Command	Stop the Test
14:14:39, Mar 08, 19	User Command	Stop the Test
14:15:00, Mar 08, 19	User Command	Stop the Test
14:15:46, Mar 08, 19	User Command	Stop the Test
06:25:49, Nov 27, 19	User Command	Stop DA output
06:25:49, Nov 27, 19	User Command	Reset the Hardware
14:55:10, Feb 25, 26	User Command	Stop DA output
14:55:10, Feb 25, 26	User Command	Reset the Hardware
14:59:48, Feb 25, 26	User Command	Stop DA output
14:59:48, Feb 25, 26	User Command	Reset the Hardware
15:01:23, Feb 25, 26	User Command	Stop DA output
15:01:23, Feb 25, 26	User Command	Reset the Hardware
15:01:43, Feb 25, 26	User Command	Stop DA output
15:01:43, Feb 25, 26	User Command	Reset the Hardware
