file,max_amp,mean_mag,var_mag,spectral_energy,spectral_centroid,spectral_spread,peak_f1,peak_f2,peak_f3,label
AM 1.xlsx,0.09395204688189551,0.00437363266144914,0.0001049410179752758,0.05583135628465673,238.31136653326988,130.39942413500034,98.0,49.0,99.0,-1
AM 2.xlsx,0.16855138528626412,0.004360235856330681,0.00015005269926313063,0.07607896019368307,230.9658567976444,132.01285563247112,98.0,99.0,149.0,-1
healthy 10.xlsx,0.3511979302857071,0.005050052158318621,0.0005538760622473559,0.2607205900720925,202.42767124086572,153.4768739757002,49.0,48.0,50.0,-1
healthy 11.xlsx,0.34513778518885374,0.005068760334044292,0.0005566628121802924,0.262059814576923,193.3414037612095,151.5171861890277,49.0,48.0,50.0,-1
healthy 12.xlsx,0.3319338720757514,0.005215632964672423,0.0005390027429121318,0.2547925065604393,206.73933967857388,152.57553527482273,49.0,48.0,440.0,-1
healthy 13.xlsx,0.3050688246730715,0.004192047815158152,0.0003909081934325829,0.18381665624271978,195.4768501600885,143.35834776398968,49.0,48.0,50.0,-1
healthy 14.xlsx,0.2055960794677958,0.004495600211921808,0.0002652904092933729,0.12847537375146192,223.70877449566905,145.35782551811738,49.0,48.0,198.0,-1
healthy 15.xlsx,0.31622356618754566,0.005586522431119216,0.0005083625990966789,0.24280732438653468,225.4119733777444,155.3503868171397,49.0,48.0,441.0,-1
healthy 16.xlsx,0.3452500095590949,0.0053322314558496625,0.0005296766273493847,0.2511491938416618,203.21031583576993,144.15389717507395,49.0,48.0,50.0,-1
healthy 17.xlsx,0.14844091492705047,0.004652516332216293,0.000196786815410652,0.0982947256344861,250.4217309282089,146.3324029366435,49.0,441.0,48.0,-1
healthy 19.xlsx,0.2567977935541421,0.004077768379082198,0.0002956837369995922,0.14054036937886566,201.9442049825453,144.49782597378007,49.0,48.0,198.0,-1
healthy 20.xlsx,0.3618971968535334,0.00551777723288121,0.0006051974276236978,0.28603948194693,211.09019322920366,156.64933475034454,49.0,48.0,50.0,-1
healthy 21.xlsx,0.19443343626335263,0.0039154667234490076,0.0002079379459858099,0.10047097154171088,240.6375147536946,151.80385243620924,49.0,48.0,443.0,-1
healthy 22.xlsx,0.2872098993975669,0.004561462169579361,0.0003729412629823394,0.17718669004807938,198.14732727617258,147.91363359208327,49.0,48.0,50.0,-1
healthy 23.xlsx,0.11920195538550615,0.003826599768784898,0.0001462990137512276,0.07242384579376152,243.91015160773873,149.89971663232004,49.0,442.0,441.0,-1
healthy 24.xlsx,0.3227967245038599,0.00452331126029431,0.00041675683685047846,0.1967477317235927,208.55380724145593,152.36566879082034,49.0,48.0,50.0,-1
healthy 25.xlsx,0.3119320026598871,0.004462246600328938,0.0004016153556208236,0.18968715015433688,193.112081587109,145.4882493239768,49.0,48.0,50.0,-1
healthy 26.xlsx,0.3207004920113832,0.0045139358140590235,0.0004133905406911717,0.19519477075107738,190.6054634245292,143.33534129753912,49.0,48.0,50.0,-1
healthy 27.xlsx,0.11830639414256439,0.0034090167361933155,9.842090127302016e-05,0.049519033371299835,274.74072523002616,140.84871099648873,442.0,443.0,98.0,-1
healthy 28.xlsx,0.23928597511257976,0.003944798019264913,0.00023875384857456966,0.1144418759943147,215.70256629565614,147.41648971093636,49.0,48.0,50.0,-1
healthy 29.xlsx,0.322010280797258,0.00481309099573668,0.00043643928031694695,0.20682230636258483,206.97492823028514,150.73820538609544,49.0,48.0,50.0,-1
healthy 3.xlsx,0.3217205812688917,0.004816244072789589,0.00044588882846215096,0.2110882659438743,209.64175086429088,153.11908467812552,49.0,48.0,441.0,-1
healthy 30.xlsx,0.3753802739083767,0.0047278439330137685,0.0005507995429480624,0.2579184230413489,195.84914117432695,155.57179134415904,49.0,48.0,50.0,-1
healthy 31.xlsx,0.09225042595062405,0.0021127470912729596,4.804388693848231e-05,0.0236284142445741,202.59732412994074,125.68095738497493,49.0,48.0,50.0,-1
healthy 32.xlsx,0.12391962809488177,0.0027296348754596916,8.238649620726073e-05,0.04042683124226396,197.10076335355507,121.25357298786597,49.0,48.0,200.0,-1
healthy 33.xlsx,0.12159173638792709,0.0023988272841721533,6.467045845446173e-05,0.031691173857187706,197.60379997688946,133.7198489718389,49.0,48.0,50.0,-1
healthy 34.xlsx,0.12585206422954798,0.002683970529117927,8.219893934322571e-05,0.040231186714979675,206.4415029828147,123.25323298429176,49.0,48.0,293.0,-1
healthy 35.xlsx,0.12116312427679077,0.0025736957498355573,7.545789031269941e-05,0.03693681005643945,195.02090835205405,120.48056749345409,49.0,48.0,195.0,-1
healthy 36.xlsx,0.12779350799974054,0.002537743270823333,7.817780534679862e-05,0.03807807581493348,194.60476050992054,122.19380841347846,49.0,48.0,50.0,-1
healthy 37.xlsx,0.12043533206451684,0.0031176349255897704,0.00010023445502268574,0.04947934614837429,187.8109504578283,114.72627791444872,49.0,48.0,149.0,-1
healthy 38.xlsx,0.11168271885253489,0.0024902566727027756,6.806373585269116e-05,0.03341930136688434,208.03369883061566,130.7747835624086,49.0,48.0,50.0,-1
healthy 39.xlsx,0.12308396981097758,0.002818634740101701,7.876971089891306e-05,0.03902148571365957,202.21723571387494,126.49407687436978,49.0,48.0,50.0,-1
healthy 4.xlsx,0.2781998482532799,0.0047435222785516575,0.00035927760913156157,0.17180037573240492,204.62250788117066,148.0597870032544,49.0,48.0,50.0,-1
healthy 40.xlsx,0.05091926141176373,0.0024100668950177706,4.2093430706981614e-05,0.021555833915448994,216.2874117587247,115.88091287043976,49.0,200.0,198.0,-1
healthy 41.xlsx,0.12865291500929743,0.0033565909301848385,0.000114335134384908,0.0565208266758782,197.61557044164064,117.28413508644675,49.0,48.0,149.0,-1
healthy 42.xlsx,0.04991903915652074,0.002177233818415737,3.1939852114275666e-05,0.01650608964644798,224.65503653651328,105.66208065342845,195.0,196.0,198.0,-1
healthy 43.xlsx,0.055550735851284117,0.0025756271408017284,4.646829491981834e-05,0.02389596753971377,213.09997490065473,119.8666380300829,198.0,49.0,149.0,-1
healthy 44.xlsx,0.1200334882014431,0.002463128376619784,7.910277020458844e-05,0.03832639722193413,200.47735087921924,125.41493614662117,49.0,48.0,198.0,-1
healthy 45.xlsx,0.1255786046385765,0.0026863099412959774,8.830071257340925e-05,0.04298263815335168,194.76372528238858,123.6419350694938,49.0,48.0,293.0,-1
healthy 46.xlsx,0.1079040375771001,0.002198455120534268,5.655728998248967e-05,0.02762572270477186,192.52028276086662,124.28347779145041,49.0,48.0,50.0,-1
